iter	Logloss
0	0.6594680786
1	0.6274211121
2	0.605414238
3	0.5817041016
4	0.5639520264
5	0.5533326721
6	0.5378344345
7	0.5257243347
8	0.5181060028
9	0.510338707
10	0.5053390884
11	0.500269928
12	0.4953926086
13	0.4908047485
14	0.4871993256
15	0.4847371292
16	0.4825751114
17	0.4797376251
18	0.4776420593
19	0.4755090332
20	0.4740333557
21	0.4727920532
22	0.4725143814
23	0.4712031555
24	0.4696243668
25	0.4684048843
26	0.4677425003
27	0.4672311401
28	0.4664934158
29	0.465822525
30	0.4654841614
31	0.4649765778
32	0.4642652893
33	0.4639483261
34	0.4637446594
35	0.4634372711
36	0.463171463
37	0.4629638672
38	0.4628536224
39	0.4625311279
40	0.4621556854
41	0.4620324707
42	0.4617993164
43	0.4615445709
44	0.4612888336
45	0.4608963776
46	0.4608131409
47	0.4605825043
48	0.4605118179
49	0.460391922
50	0.4602666855
51	0.4601504517
52	0.4600657272
53	0.460019722
54	0.4598336411
55	0.4596523285
56	0.45954422
57	0.4593349457
58	0.4591340637
59	0.4589794159
60	0.4588305664
61	0.4587446213
62	0.4586906052
63	0.458688736
64	0.4586732483
65	0.45847435
66	0.4583302307
67	0.4582215118
68	0.4581917191
69	0.4581680298
70	0.4581412506
71	0.4580576324
72	0.4579658127
73	0.4579182053
74	0.4578484344
75	0.4577210236
76	0.457701416
77	0.4576067734
78	0.4574723816
79	0.4574237442
80	0.457365303
81	0.4573463821
82	0.4572846985
83	0.4572155762
84	0.4571165466
85	0.4570803452
86	0.4570061111
87	0.4569284821
88	0.456861496
89	0.4568216324
90	0.4568074799
91	0.4567914581
92	0.4567443848
93	0.4566685486
94	0.4566256332
95	0.4565792084
96	0.456518898
97	0.456437149
98	0.4564212036
99	0.4563825989
100	0.4562530518
101	0.4561708069
102	0.4561582184
103	0.4561177063
104	0.4561032867
105	0.456060791
106	0.455960083
107	0.4559302521
108	0.4559134674
109	0.4558943939
110	0.4558713531
111	0.4558362961
112	0.4558132172
113	0.4557987595
114	0.4557720184
115	0.4557352829
116	0.4557123566
117	0.4556788635
118	0.4556749725
119	0.4555925751
120	0.4555341339
121	0.4554100037
122	0.455375061
123	0.4552737427
124	0.4551923752
125	0.4551067734
126	0.454991951
127	0.454913063
128	0.4547276306
129	0.4546969223
130	0.4546380234
131	0.4544752884
132	0.4544337463
133	0.4544064331
134	0.4543554687
135	0.4542788696
136	0.4542290878
137	0.4541934204
138	0.4541261673
139	0.4540689468
140	0.454042244
141	0.4540066528
142	0.4539065933
143	0.453724556
144	0.4536257172
145	0.4535757828
146	0.4534537506
147	0.4533365631
148	0.4531802368
149	0.4531272888
150	0.4530572128
151	0.453046875
152	0.4529933929
153	0.4529277802
154	0.4526506805
155	0.4525447083
156	0.4524661255
157	0.4522653961
158	0.4522212982
159	0.4520600891
160	0.4519300842
161	0.4517581177
162	0.4516549301
163	0.4515014648
164	0.4513561249
165	0.451199379
166	0.451012764
167	0.4509073639
168	0.4506700897
169	0.4505697632
170	0.4503981781
171	0.4499765015
172	0.4497510147
173	0.4496109772
174	0.4493269348
175	0.4491272736
176	0.4488873291
177	0.4487286377
178	0.4486271667
179	0.4482380295
180	0.4480062866
181	0.4476374054
182	0.4474514389
183	0.4472369766
184	0.4469621277
185	0.446702919
186	0.4463916397
187	0.4461859131
188	0.4460060883
189	0.445941925
190	0.4457355499
191	0.4454550171
192	0.4452174759
193	0.4449864197
194	0.44473423
195	0.4446684265
196	0.444521637
197	0.4443664551
198	0.4441239929
199	0.4439611816
200	0.4435344696
201	0.4433126068
202	0.443182106
203	0.4429862595
204	0.4426477432
205	0.4425349045
206	0.4422267914
207	0.4419847107
208	0.4416998291
209	0.4414242935
210	0.4412524796
211	0.441000824
212	0.4407066727
213	0.4404134369
214	0.4402759933
215	0.4400164032
216	0.4398591995
217	0.4396478271
218	0.4394425583
219	0.4392808914
220	0.4390154648
221	0.4388270569
222	0.4386083984
223	0.4383924866
224	0.4381054688
225	0.4379767227
226	0.4377611542
227	0.4375494003
228	0.4372861481
229	0.4370803833
230	0.4367791748
231	0.4366085052
232	0.4364426804
233	0.4363503265
234	0.4360744095
235	0.4359140015
236	0.4357232666
237	0.4354943085
238	0.4352927399
239	0.4350215149
240	0.434731102
241	0.4346432114
242	0.4345859146
243	0.4343514252
244	0.4340643692
245	0.4338089752
246	0.4336732101
247	0.4335109711
248	0.433465271
249	0.4332440186
250	0.4330067825
251	0.43278862
252	0.4327346039
253	0.4325498581
254	0.4323125458
255	0.4322735977
256	0.4321030426
257	0.4318618774
258	0.4317571259
259	0.4315846634
260	0.4313623428
261	0.431113739
262	0.4309649277
263	0.430717392
264	0.4306649017
265	0.4303918076
266	0.4302000427
267	0.4300669479
268	0.4296957779
269	0.4294839478
270	0.429307785
271	0.4291400909
272	0.4289416885
273	0.4286353302
274	0.4284296417
275	0.428052597
276	0.4278078461
277	0.4275178528
278	0.4274340057
279	0.4271591568
280	0.42707798
281	0.4267697906
282	0.4266360474
283	0.426346817
284	0.4261608887
285	0.4260294342
286	0.4259209442
287	0.4257918549
